x_m,y_m
0.7100,-5.9500
0.7100,-5.9000
0.7600,-5.8500
0.7600,-5.8000
0.7600,-5.7500
0.8100,-5.7000
0.8100,-5.6500
0.8600,-5.6000
0.8600,-5.5500
0.9100,-5.5000
0.9100,-5.4500
0.9100,-5.4000
0.9600,-5.3500
0.9600,-5.3000
0.9600,-5.2500
1.0100,-5.2000
1.0100,-5.1500
1.0600,-5.1000
1.0600,-5.0500
1.1100,-5.0000
1.1600,-4.9500
1.2100,-4.9000
1.2100,-4.8500
1.2100,-4.8000
1.2100,-4.7500
1.2600,-4.7000
1.2600,-4.6500
1.3100,-4.6000
1.3100,-4.5500
1.3600,-4.5000
1.3600,-4.4500
1.3600,-4.4000
1.4100,-4.3500
1.4100,-4.3000
1.4600,-4.2500
1.4600,-4.2000
1.5100,-4.1500
1.5100,-4.1000
1.5100,-4.0500
1.5100,-4.0000
1.5600,-3.9500
1.5600,-3.9000
1.6100,-3.8500
1.6100,-3.8000
1.6600,-3.7500
1.6600,-3.7000
1.6600,-3.6500
1.7100,-3.6000
1.7100,-3.5500
1.7600,-3.5000
1.7600,-3.4500
1.8100,-3.4000
1.8100,-3.3500
1.8600,-3.3000
1.8600,-3.2500
1.9100,-3.2000
1.9600,-3.1500
1.9600,-3.1000
2.0100,-3.0500
2.0100,-3.0000
2.0100,-2.9500
2.0600,-2.9000
2.1100,-2.8500
2.1100,-2.8000
2.1100,-2.7500
2.1600,-2.7000
2.1600,-2.6500
2.1600,-2.6000
2.2100,-2.5500
2.2100,-2.5000
2.2600,-2.4500
2.2600,-2.4000
2.3100,-2.3500
2.3100,-2.3000
2.3600,-2.2500
2.3600,-2.2000
2.3600,-2.1500
2.4100,-2.1000
2.4100,-2.0500
2.4100,-2.0000
2.4600,-1.9500
2.4600,-1.9000
2.4600,-1.8500
2.5100,-1.8000
2.5100,-1.7500
2.5100,-1.7000
2.5100,-1.6500
2.5100,-1.6000
2.5100,-1.5500
2.5600,-1.5000
2.5600,-1.4500
2.5600,-1.4000
2.5600,-1.3500
2.5600,-1.3000
2.5600,-1.2500
2.5600,-1.2000
2.6100,-1.1500
2.6100,-1.1000
2.6100,-1.0500
2.6600,-1.0000
2.6600,-0.9500
2.6600,-0.9000
